topic,category
Canada's little brown war badge,Veterans' and Military Affairs
residency requirements for government annuities,Social Welfare and Labour
interest rates on government savings accounts,Banking and Monetary Policy
international labour convention on working hours,Social Welfare and Labour
canadian currency exchange and gold reserves,Banking and Monetary Policy
Canadian dollar exchange rate devaluation,Banking and Monetary Policy
national eight-hour working day jurisdiction,Social Welfare and Labour
awarding of Canadian naval service badges,Veterans' and Military Affairs
government annuities interest rate adjustment,Social Welfare and Labour
Canada's national status within the British Empire,"Justice, Constitution, and Indigenous Affairs"
amendment of the Government Annuities Act,Social Welfare and Labour
federal jurisdiction over international treaty implementation,"Justice, Constitution, and Indigenous Affairs"
national unity and political discourse,Government and Parliamentary Affairs
standardization of Canadian war service badges,Veterans' and Military Affairs
ratification of the Bulgarian peace treaty,International Trade and Tariffs
design of Canada's naval war service badge,Veterans' and Military Affairs
financial performance of government annuities,Social Welfare and Labour
Canada's international status and political legacy,"Justice, Constitution, and Indigenous Affairs"
pension eligibility for widowed mothers,Social Welfare and Labour
Canada's representation at the Paris Peace Conference,"Justice, Constitution, and Indigenous Affairs"
Canada's status and autonomy within the British Empire,"Justice, Constitution, and Indigenous Affairs"
parliamentary procedure and acoustic concerns,Government and Parliamentary Affairs
construction of Ste. Anne de Beaupré wharf,Transportation and Communications
federal jurisdiction over provincial legislative matters,"Justice, Constitution, and Indigenous Affairs"
Canada's international status at the Paris Peace Conference,"Justice, Constitution, and Indigenous Affairs"
ratification of the Treaty of Versailles,International Trade and Tariffs
League of Nations covenant reservations,International Trade and Tariffs
purchase and sale of re-cleaned screenings,Agriculture and Food Policy
Canada's status as a nation,"Justice, Constitution, and Indigenous Affairs"
establishment of a national eight-hour working day,Social Welfare and Labour
federal authority over treaty implementation,"Justice, Constitution, and Indigenous Affairs"
issuance of naval service badges,Veterans' and Military Affairs
amendments to the Currency Act regarding coinage,Banking and Monetary Policy
Canada's constitutional autonomy within the British Empire,"Justice, Constitution, and Indigenous Affairs"
St. John and Quebec Railroad operations,Transportation and Communications
Canadian constitutional status within the British Empire,"Justice, Constitution, and Indigenous Affairs"
constitutional authority of the British Empire,"Justice, Constitution, and Indigenous Affairs"
re-establishment of returned soldiers,Veterans' and Military Affairs
civil service superannuation fund interest rates,Public Finance and Taxation
Canada's national status and the British Empire,"Justice, Constitution, and Indigenous Affairs"
jurisdictional authority over eight-hour workdays,Social Welfare and Labour
Canada's national status and treaty ratification,"Justice, Constitution, and Indigenous Affairs"
civil service classification and remuneration,Government and Parliamentary Affairs
Canada's national status and political credit,"Justice, Constitution, and Indigenous Affairs"
Canada's status regarding the Treaty of Versailles,"Justice, Constitution, and Indigenous Affairs"
origins of the Railway Association of Canada,Transportation and Communications
constitutional jurisdiction over an eight-hour working day,Social Welfare and Labour
constitutional amendment power,"Justice, Constitution, and Indigenous Affairs"
federal jurisdiction over eight-hour work day legislation,Social Welfare and Labour
provincial jurisdiction over treaty implementation,"Justice, Constitution, and Indigenous Affairs"
canadian national unity and moral character,Government and Parliamentary Affairs
parliamentary questions regarding government administration and finance,Government and Parliamentary Affairs
Canada's representation on the International Labour Organization,Social Welfare and Labour
international labour conference convention procedures,Social Welfare and Labour
Canada's international status and national autonomy,"Justice, Constitution, and Indigenous Affairs"
federal legislative jurisdiction over eight-hour workdays,Social Welfare and Labour
government acquisition of the Inverness railway,Transportation and Communications
government expenditures for seed grain and livestock feed,Agriculture and Food Policy
Royal Canadian Mounted Police surveillance and censorship,"Justice, Constitution, and Indigenous Affairs"
Royal Canadian Mounted Police pension amendment,Veterans' and Military Affairs
Royal Canadian Mounted Police pension provisions,Veterans' and Military Affairs
civil service superannuation and retirement insurance,Social Welfare and Labour
military and mounted police pension adequacy,Veterans' and Military Affairs
Royal Canadian Mounted Police pension adjustments,Veterans' and Military Affairs
increase of inadequate public service pensions,Social Welfare and Labour
adjustment of federal government pension scales,Social Welfare and Labour
appointment of Prince of Wales as Honorary Commandant of the Royal Canadian Mounted Police,Government and Parliamentary Affairs
Royal Canadian Mounted Police pension rates,Veterans' and Military Affairs
reduction of silver coinage fineness,Banking and Monetary Policy
retention of Royal Northwest Mounted Police title,Government and Parliamentary Affairs
Royal Northwest Mounted Police pension adjustments,Veterans' and Military Affairs
government salary and wage policy,Social Welfare and Labour
administration of the ticket-of-leave system,"Justice, Constitution, and Indigenous Affairs"
inadequate Royal North-West Mounted Police pensions,Veterans' and Military Affairs
immigration of Imperial ex-service men,"Justice, Constitution, and Indigenous Affairs"
Intercolonial Railway employee pension increases,Transportation and Communications
pension provisions for retired Royal Canadian Mounted Police,Veterans' and Military Affairs
pensions for pioneer RCMP members,Veterans' and Military Affairs
disruptive noise in the house chamber,Government and Parliamentary Affairs
domestic coal production versus imports,Natural Resources and Intergovernmental Relations
adequate pension provisions for public servants and soldiers,Social Welfare and Labour
ratification of the treaty of peace with Bulgaria,International Trade and Tariffs
Royal Canadian Mounted Police amendment act,"Justice, Constitution, and Indigenous Affairs"
India's status in the League of Nations,International Trade and Tariffs
government provision of military uniforms to schools,Veterans' and Military Affairs
gold and silver currency standards,Banking and Monetary Policy
Royal Canadian Mounted Police activities and investigations,"Justice, Constitution, and Indigenous Affairs"
qualifications for ship captains,Transportation and Communications
procedural regulation of legislative debate,Government and Parliamentary Affairs
Royal Canadian Mounted Police investigation of library books,"Justice, Constitution, and Indigenous Affairs"
Royal Canadian Mounted Police title amendment,Government and Parliamentary Affairs
customs officer appointments in Charlevoix-Montmorency,Government and Parliamentary Affairs
canadian nickel coinage production,Banking and Monetary Policy
amendments to the Government Annuities Act,Social Welfare and Labour
legislated eight-hour workday for labour,Social Welfare and Labour
government annuities act amendments,Social Welfare and Labour
production of one-cent coins,Banking and Monetary Policy
dismissal of James Conner,Government and Parliamentary Affairs
administration of government annuities,Social Welfare and Labour
Royal Canadian Mounted Police pension increases,Veterans' and Military Affairs
parliamentary representation and cabinet composition,Government and Parliamentary Affairs
International Fisheries Commission lobster export regulations,Natural Resources and Intergovernmental Relations
League of Nations Covenant voting rights,"Justice, Constitution, and Indigenous Affairs"
monthly increase of the national debt,Public Finance and Taxation
government shipbuilding contracts,Veterans' and Military Affairs
immigration of British ex-service men,"Justice, Constitution, and Indigenous Affairs"
League of Nations Covenant dispute resolution procedures,"Justice, Constitution, and Indigenous Affairs"
Dominion Elections Act and electoral franchise reform,Government and Parliamentary Affairs
constitutional status of the British Empire,"Justice, Constitution, and Indigenous Affairs"
eight-hour workday legislation,Social Welfare and Labour
survey of western Canadian production and commerce,Public Finance and Taxation
workmen's compensation and industrial accident protection,Social Welfare and Labour
export permits for Canadian hides,International Trade and Tariffs
domestic fuel supply and energy sources,Natural Resources and Intergovernmental Relations
constitutional evolution of the British Empire,"Justice, Constitution, and Indigenous Affairs"
Canadian representation in the Bulgarian peace treaty,"Justice, Constitution, and Indigenous Affairs"
tributes to deceased members of Parliament,Government and Parliamentary Affairs
high cost of fuel and necessaries,Public Finance and Taxation
Canada's membership in the League of Nations,"Justice, Constitution, and Indigenous Affairs"
standardization of working hours,Social Welfare and Labour
national eight-hour working day,Social Welfare and Labour
constitutional authority of imperial conferences,"Justice, Constitution, and Indigenous Affairs"
United Kingdom embargo on Canadian cattle,Agriculture and Food Policy
eight-hour workday legislation for agriculture,Social Welfare and Labour
Canada's eligibility for League of Nations Council election,"Justice, Constitution, and Indigenous Affairs"
Canada's status in the League of Nations,"Justice, Constitution, and Indigenous Affairs"
legislated eight-hour workday policy,Social Welfare and Labour
