topic,category,error
meeting with western premiers on abandonment,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
provincial consultation on legislation,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
investigation of labour department statistics,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
Canadian economic stability and future prosperity,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
Canadian control of natural resource development,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
committee procedure and legal interpretation,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
divorce and matrimonial causes in England,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
provincial jurisdiction over contracts,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
divorce bill and marriage contract validity,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
divorce proceedings and marital agreements,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
divorce bills evidence reading,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
order of business,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
military assistance to India,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
Auditor General's report on public accounts,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
provincial-federal conference determination,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
report publication timing,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
immigration assistance from US company,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
Champlain waterway studies,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
unanimous consent for debatable motion,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
