topic,n,mean_procedural_score,mean_cluster_score,mean_abs_disagreement,cluster_high_share,procedural_high_share,mean_word_count
order of business,555,0.7968468468468468,0.8454954954954955,0.16306306306306306,0.836036036036036,1.0,75.32612612612613
question of privilege,226,0.8064159292035398,0.7798672566371682,0.19247787610619468,0.6902654867256637,1.0,85.68141592920354
unclear,185,0.904054054054054,0.6851351351351351,0.23513513513513515,0.4594594594594595,0.9945945945945946,63.383783783783784
adjournment proceedings,88,0.9261363636363636,0.9204545454545454,0.11931818181818182,0.9090909090909091,1.0,77.2840909090909
parliamentary procedure,72,0.8020833333333334,0.71875,0.18055555555555555,0.6111111111111112,1.0,67.97222222222223
point of order,65,0.9884615384615385,0.9576923076923077,0.05384615384615385,0.9230769230769231,1.0,64.13846153846154
adjournment proceedings and private members' business,37,0.9459459459459459,1.0,0.05405405405405406,1.0,1.0,114.70270270270271
adjournment of debate,37,0.7905405405405406,0.8040540540540541,0.13513513513513514,0.7567567567567568,1.0,87.78378378378379
adjournment,34,0.9632352941176471,0.8602941176470589,0.1323529411764706,0.7352941176470589,1.0,59.294117647058826
petition against goods and services tax,31,0.31451612903225806,0.12903225806451613,0.3467741935483871,0.0967741935483871,0.03225806451612903,108.64516129032258
parliamentary procedure and debate,29,0.75,0.6896551724137931,0.16379310344827586,0.6551724137931034,1.0,203.24137931034483
question period procedure,29,0.8189655172413793,0.9137931034482759,0.14655172413793102,0.896551724137931,1.0,119.82758620689656
federal-provincial fiscal arrangements,28,0.24107142857142858,0.0625,0.25,0.03571428571428571,0.0,351.25
adjournment of the house,27,0.8518518518518519,0.8703703703703703,0.09259259259259259,0.8888888888888888,1.0,105.66666666666667
question of privilege ruling,26,0.8846153846153846,0.9519230769230769,0.125,0.9615384615384616,1.0,202.30769230769232
inquiries of the ministry,24,0.6458333333333334,0.6979166666666666,0.23958333333333334,0.4583333333333333,0.7083333333333334,66.58333333333333
question of privilege procedure,24,0.8333333333333334,0.96875,0.15625,0.9583333333333334,1.0,139.79166666666666
adjournment of the House,23,0.8913043478260869,0.9565217391304348,0.08695652173913043,0.9565217391304348,1.0,83.43478260869566
tabling of documents,23,0.75,0.7391304347826086,0.18478260869565216,0.5217391304347826,0.9130434782608695,90.17391304347827
adjournment debate,20,0.7875,0.8125,0.1,0.9,1.0,72.5
unanimous consent,19,0.9868421052631579,0.9210526315789473,0.06578947368421052,0.9473684210526315,1.0,76.89473684210526
interest rates and inflation,18,0.06944444444444445,0.0,0.06944444444444445,0.0,0.0,158.22222222222223
unparliamentary language,18,0.8472222222222222,0.75,0.18055555555555555,0.6666666666666666,1.0,97.33333333333333
Canada-U.S. Free Trade Agreement,18,0.22777777777777775,0.05555555555555555,0.22777777777777775,0.0,0.0,500.0
business of the house,18,0.7361111111111112,0.7361111111111112,0.05555555555555555,0.8888888888888888,0.9444444444444444,108.88888888888889
Canada-US trade negotiations,18,0.125,0.4166666666666667,0.2916666666666667,0.16666666666666666,0.0,94.55555555555556
federal-provincial relations,17,0.27941176470588236,0.22058823529411764,0.29411764705882354,0.058823529411764705,0.0,85.88235294117646
abolition of capital punishment,17,0.12352941176470589,0.4117647058823529,0.3764705882352941,0.29411764705882354,0.0,866.9411764705883
order in the house,17,0.8676470588235294,0.8970588235294118,0.17647058823529413,0.8235294117647058,1.0,69.41176470588235
federal-provincial fiscal relations,17,0.16176470588235295,0.0,0.16176470588235295,0.0,0.0,243.64705882352942
goods and services tax,16,0.271875,0.03125,0.271875,0.0,0.0625,135.8125
order of business and debate,15,0.75,0.9166666666666666,0.16666666666666666,1.0,1.0,204.8
parliamentary procedure on amendments,15,0.7666666666666667,0.9666666666666667,0.23333333333333334,0.9333333333333333,1.0,297.8666666666667
amendments to legislation,15,0.5333333333333333,1.0,0.4666666666666667,1.0,0.4,75.13333333333334
debate time allocation,15,0.75,0.75,0.06666666666666667,0.8666666666666667,1.0,97.33333333333333
parliamentary procedure reform,14,0.39285714285714285,0.7678571428571429,0.375,1.0,0.07142857142857142,848.2857142857143
Canada-US relations,14,0.23214285714285715,0.44642857142857145,0.2857142857142857,0.2857142857142857,0.0,70.07142857142857
royal assent to bills,14,0.7857142857142857,0.6428571428571429,0.21428571428571427,0.2857142857142857,1.0,123.92857142857143
referral of bill to committee,14,0.7142857142857143,0.6964285714285714,0.125,0.8571428571428571,0.9285714285714286,112.71428571428571
unemployment and job creation,13,0.15384615384615385,0.2692307692307692,0.3076923076923077,0.3076923076923077,0.0,105.53846153846153
Canada-US free trade agreement,13,0.21153846153846154,0.0,0.21153846153846154,0.0,0.0,422.3076923076923
question period,13,0.75,0.8846153846153846,0.17307692307692307,0.8461538461538461,0.9230769230769231,70.6923076923077
inflation and interest rates,13,0.15384615384615385,0.038461538461538464,0.19230769230769232,0.0,0.0,248.23076923076923
recognition of members,13,0.8461538461538461,0.8269230769230769,0.21153846153846154,0.7692307692307693,1.0,81.92307692307692
point of privilege,13,0.8461538461538461,0.8653846153846154,0.1346153846153846,0.8461538461538461,1.0,81.3076923076923
adjournment motion,13,0.8269230769230769,0.7692307692307693,0.28846153846153844,0.6153846153846154,1.0,71.76923076923077
unemployment insurance act amendments,12,0.20833333333333334,0.25,0.3333333333333333,0.25,0.0,816.75
unanimous consent for motion,12,0.8541666666666666,1.0,0.14583333333333334,1.0,1.0,86.33333333333333
abolition of the Senate,12,0.29583333333333334,0.6666666666666666,0.41250000000000003,0.75,0.0,697.5
point of order ruling,12,0.9375,0.9791666666666666,0.041666666666666664,1.0,1.0,75.66666666666667
youth employment programs,12,0.14583333333333334,0.16666666666666666,0.1875,0.0,0.0,117.41666666666667
ministerial responsibility,12,0.6041666666666666,0.6875,0.16666666666666666,0.5833333333333334,0.5833333333333334,76.83333333333333
question period rules,11,0.8636363636363636,0.8181818181818182,0.13636363636363635,0.7272727272727273,1.0,80.36363636363636
tabling of petitions,11,0.75,0.9545454545454546,0.25,0.9090909090909091,1.0,67.27272727272727
parliamentary conduct,11,0.7272727272727273,0.5681818181818182,0.20454545454545456,0.45454545454545453,0.9090909090909091,63.36363636363637
wage and price controls,11,0.22727272727272727,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.0,139.0
opposition to goods and services tax,11,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,125.54545454545455
conflict of interest guidelines,11,0.29545454545454547,0.6818181818181818,0.38636363636363635,0.6363636363636364,0.0,123.0
question period management,11,0.75,0.8636363636363636,0.20454545454545456,0.8181818181818182,1.0,77.27272727272727
accountability of Crown corporations,11,0.2727272727272727,0.25,0.29545454545454547,0.2727272727272727,0.0,665.4545454545455
Royal Assent to bills,11,0.8181818181818182,0.6818181818181818,0.22727272727272727,0.36363636363636365,1.0,100.0
amendments to the Bank Act,10,0.1,0.575,0.525,0.6,0.0,380.5
private members' business,10,0.825,0.95,0.125,1.0,1.0,67.9
order and decorum in debate,10,0.8,0.9,0.15,1.0,1.0,75.7
adjournment proceedings questions,10,0.9,1.0,0.1,1.0,1.0,87.9
ministerial accountability,10,0.65,0.725,0.175,0.7,0.7,64.5
amendment procedure,10,0.75,0.975,0.225,1.0,1.0,98.2
point of order and privilege,10,0.95,1.0,0.05,1.0,1.0,121.6
LIP project application details,10,0.0,0.5,0.5,0.0,0.0,77.0
Canada-US trade relations,10,0.25,0.25,0.2,0.1,0.0,94.8
privatization of Crown corporations,10,0.25,0.275,0.275,0.3,0.0,247.5
patriation of the constitution,10,0.2,0.55,0.5,0.6,0.0,172.8
adjournment proceedings and private members business,10,0.925,1.0,0.075,1.0,1.0,115.8
presentation of petitions,10,0.75,0.775,0.175,0.7,1.0,102.8
contracts for professional services,9,0.0,0.2777777777777778,0.2777777777777778,0.0,0.0,72.11111111111111
railway freight rate increases,9,0.19444444444444445,0.19444444444444445,0.16666666666666666,0.1111111111111111,0.1111111111111111,93.0
adjournment debate topics,9,0.75,1.0,0.25,1.0,1.0,87.77777777777777
unemployment insurance for fishermen,9,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,212.0
budget and economic policy,9,0.17777777777777778,0.2777777777777778,0.2888888888888889,0.2222222222222222,0.0,581.8888888888889
misleading the house,9,0.75,0.5277777777777778,0.2222222222222222,0.1111111111111111,1.0,100.66666666666667
equal pay for work of equal value,9,0.09444444444444444,0.16666666666666666,0.15000000000000002,0.0,0.0,206.77777777777777
correction of parliamentary record,9,0.75,0.9166666666666666,0.2222222222222222,0.8888888888888888,1.0,113.33333333333333
Foreign Investment Review Act conditions and compliance,9,0.0,0.0,0.0,0.0,0.0,211.77777777777777
withdrawal of motion,9,0.75,0.8333333333333334,0.19444444444444445,0.7777777777777778,1.0,68.77777777777777
federal funding for post-secondary education,9,0.12222222222222223,0.1111111111111111,0.12222222222222223,0.0,0.0,407.0
Farm Credit Corporation interest rates,9,0.08333333333333333,0.1111111111111111,0.19444444444444445,0.0,0.0,259.44444444444446
Royal Assent to Bills,9,0.8333333333333334,0.6666666666666666,0.2222222222222222,0.4444444444444444,1.0,110.33333333333333
parliamentary privilege,9,0.7777777777777778,0.7777777777777778,0.16666666666666666,0.6666666666666666,1.0,83.44444444444444
notification of adjournment topics,9,0.9166666666666666,1.0,0.08333333333333333,1.0,1.0,66.0
questions on the order paper,8,0.78125,0.9375,0.21875,0.875,1.0,244.25
unification of Canadian armed forces,8,0.15625,0.40625,0.3125,0.375,0.0,810.0
unanimous consent for debate,8,0.84375,0.96875,0.125,1.0,1.0,73.25
borrowing authority and government spending,8,0.28125,0.09375,0.3125,0.125,0.0,1003.75
question of privilege notice,8,0.96875,1.0,0.03125,1.0,1.0,88.25
parliamentary debate tactics,8,0.75,0.5625,0.1875,0.5,1.0,124.0
National Defence Act amendment,8,0.1875,0.40625,0.46875,0.375,0.0,699.875
Prairie Grain Advance Payments Act,8,0.29375,0.28125,0.325,0.375,0.0,397.875
goods and services tax petitions,8,0.25,0.0,0.25,0.0,0.0,95.5
parliamentary procedure and conduct,8,0.75,0.8125,0.125,0.875,1.0,91.625
equalization payments to provinces,8,0.09375,0.0,0.09375,0.0,0.0,119.125
order of questions,8,0.9375,0.875,0.0625,0.875,1.0,64.625
privatization of Petro-Canada,8,0.28125,0.0625,0.28125,0.0,0.0,395.75
Income Tax Act,8,0.46875,0.46875,0.4375,0.5,0.375,81.25
Western Grain Stabilization Act amendments,8,0.075,0.125,0.2,0.125,0.0,549.0
Bank of Canada interest rate policy,8,0.09375,0.03125,0.0625,0.0,0.0,119.375
unemployment insurance benefits,8,0.125,0.09375,0.15625,0.125,0.0,90.0
economic growth and job creation,8,0.1375,0.09375,0.16875,0.125,0.0,209.875
parliamentary procedure on bill amendments,7,0.6428571428571429,1.0,0.35714285714285715,1.0,0.7142857142857143,677.4285714285714
regional economic development programs,7,0.15714285714285717,0.14285714285714285,0.2285714285714286,0.0,0.0,414.0
economic growth and unemployment,7,0.08571428571428572,0.07142857142857142,0.15714285714285717,0.0,0.0,162.85714285714286
labour dispute mediation,7,0.2857142857142857,0.5357142857142857,0.25,0.14285714285714285,0.0,94.28571428571429
questions of privilege,7,0.7857142857142857,0.8928571428571429,0.17857142857142858,0.8571428571428571,1.0,140.71428571428572
access to government information,7,0.33571428571428574,0.5714285714285714,0.2642857142857143,0.42857142857142855,0.0,255.28571428571428
gun control legislation,7,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0,331.7142857142857
order paper questions,7,0.8214285714285714,0.8571428571428571,0.25,0.7142857142857143,1.0,110.28571428571429
inflation and cost of living,7,0.17857142857142858,0.10714285714285714,0.21428571428571427,0.14285714285714285,0.0,558.2857142857143
order of business on motions,7,0.8571428571428571,0.9642857142857143,0.10714285714285714,1.0,1.0,96.42857142857143
division on motion,7,0.9285714285714286,0.5,0.42857142857142855,0.0,1.0,188.28571428571428
order and decorum,7,0.8928571428571429,0.9642857142857143,0.14285714285714285,1.0,1.0,63.0
employment equity legislation,7,0.2285714285714286,0.25,0.33571428571428574,0.2857142857142857,0.0,728.5714285714286
debate procedure,7,0.75,0.9642857142857143,0.21428571428571427,1.0,1.0,70.28571428571429
free trade agreement with the United States,7,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,228.85714285714286
universality of social programs,7,0.25,0.5357142857142857,0.35714285714285715,0.7142857142857143,0.0,248.57142857142858
unemployment and government economic policy,7,0.21428571428571427,0.17857142857142858,0.25,0.14285714285714285,0.0,178.85714285714286
expulsion of Canadians from Brazil,7,0.03571428571428571,0.5,0.4642857142857143,0.0,0.0,135.14285714285714
Canadian dollar exchange rate,7,0.21428571428571427,0.32142857142857145,0.32142857142857145,0.14285714285714285,0.0,116.0
tabling of correspondence,7,0.7142857142857143,0.6428571428571429,0.14285714285714285,0.42857142857142855,0.8571428571428571,82.85714285714286
sales tax on building materials,7,0.07142857142857142,0.25,0.25,0.14285714285714285,0.0,131.0
