topic,category,error
$1 banknote in circulation,Economic & Fiscal Policy,
"$1,000 interest income tax exemption",Economic & Fiscal Policy,
10 per cent surtax on malts and fish,Trade & Industry,
"10,000 scholarships program",Social Policy,
12 mile fishing limit legislation,Agriculture & Natural Resources,
12-mile fishing limit enforcement,Agriculture & Natural Resources,
1936 perpetual bond issue redemption,Economic & Fiscal Policy,
1942 conscription referendum,Intergovernmental & Constitutional Affairs,
1957-58 election campaign coverage,Government Operations & Ethics,
1964 import statistics by commodity,Trade & Industry,
1966 census commissioners and enumerators,Government Operations & Ethics,
1967 Canadian world exhibition corporation finances,Government Operations & Ethics,
1967-68 estimates,Economic & Fiscal Policy,
1968-69 wheat pool deficit funds,Agriculture & Natural Resources,
1971 Census of Agriculture questionnaires and questions,Agriculture & Natural Resources,
1971 census questions,Social Policy,
1974 election campaign promises,Economic & Fiscal Policy,
1974-75 budgetary expenditures for internal overhead expenses,Economic & Fiscal Policy,
1976 Census preliminary population counts,Social Policy,
1976 Olympic Games assistance to Vancouver and Montreal,Economic & Fiscal Policy,
1976 Olympic Games commemorative stamp,Government Operations & Ethics,
1976 Olympics deficit and federal responsibility,Economic & Fiscal Policy,
1977 economic growth forecasts,Economic & Fiscal Policy,
1977 fishing plan,Agriculture & Natural Resources,
1979 budgetary deficit,Economic & Fiscal Policy,
1981 recession and unemployment insurance,Social Policy,
1981-82 main estimates and public service person-years,Economic & Fiscal Policy,
1983 crop year farm commodity prices,Agriculture & Natural Resources,
1992 budget and child care policy,Social Policy,
1992 budget and spending cuts,Economic & Fiscal Policy,
1994 Commonwealth Games facilities,Social Policy,
"2,4-D and farmer compensation",Agriculture & Natural Resources,
"2,4-D use for farmers",Agriculture & Natural Resources,
200 mile fishing limit for Canada,Agriculture & Natural Resources,
200-mile economic zone and salmon fishing rights,Agriculture & Natural Resources,
200-mile fishery zone and ICNAF quotas,Agriculture & Natural Resources,
200-mile fishing zone,Agriculture & Natural Resources,
20th anniversary of the Class of 72,Parliamentary Affairs,
3 per cent perpetual bonds,Economic & Fiscal Policy,
3 per cent surtax necessity,Economic & Fiscal Policy,
500 Club membership benefits,Government Operations & Ethics,
6 per cent rule for public servants,Government Operations & Ethics,
75th anniversary of Vimy Ridge,Foreign Affairs & Defence,
80 per cent content in publications,Trade & Industry,
80 per cent rule for Reader's Digest,Trade & Industry,
A-Victoria vaccine availability and swine flu investigation,Social Policy,
AB line boundary negotiations,Intergovernmental & Constitutional Affairs,
ABM Treaty integrity,Foreign Affairs & Defence,
ABM decision and US relations,Foreign Affairs & Defence,
ABM installation in Canada's Arctic,Foreign Affairs & Defence,
ABM system discussions with US,Foreign Affairs & Defence,
ABM system position,Foreign Affairs & Defence,
ACOA and trade deal impact on Atlantic Canada,Trade & Industry,
ACOA budget and CFB Summerside,Government Operations & Ethics,
ACOA funding and deficit reduction,Economic & Fiscal Policy,
ACOA funding and political patronage,Government Operations & Ethics,
ACOA grants and loans during election,Government Operations & Ethics,
ADAPP drug addiction rehabilitation program,Social Policy,
ADIA employment estimates vs actual employment,Economic & Fiscal Policy,
AECL $500 million contract,Government Operations & Ethics,
AECL agent fees for South Korea reactor sale,Trade & Industry,
AECL agreement figures,Trade & Industry,
AECL and US Dept of Defense nuclear discussion,Foreign Affairs & Defence,
AECL business relationship with Italimpianti,Trade & Industry,
AECL expenditure to unknown agent,Government Operations & Ethics,
AECL financial maladministration,Government Operations & Ethics,
AECL grants and loans within Toronto,Economic & Fiscal Policy,
AECL information flow to minister,Government Operations & Ethics,
AECL licensing agreement with Romania,Trade & Industry,
AECL licensing and commercial ties,Trade & Industry,
AECL losses on nuclear reactor sale,Trade & Industry,
AECL nuclear reactor sales to Roumania,Trade & Industry,
AECL officials' statements,Government Operations & Ethics,
AECL payments and RCMP investigation,Government Operations & Ethics,
AECL payments to non-existent company,Government Operations & Ethics,
AECL reactor purchase and payments,Trade & Industry,
AECL renegotiated agreement loss,Trade & Industry,
AECL use of agents,Government Operations & Ethics,
AECL's role in job losses,Trade & Industry,
AEI complaint about CIDA contract,Government Operations & Ethics,
AHOP funds budget allocation,Social Policy,
AHOP home owners and graduated mortgage payment plan,Social Policy,
AHOP houses quality control,Social Policy,
AHOP housing loans in New Brunswick,Social Policy,
AHOP housing program application,Social Policy,
AHOP housing program in Toronto,Social Policy,
AHOP housing program mortgage rates,Social Policy,
AHOP housing subsidies,Social Policy,
AHOP mortgage defaults,Social Policy,
AIB directives for private investment,Economic & Fiscal Policy,
AIB guidelines and business profits,Economic & Fiscal Policy,
AIB regulations on research and development,Economic & Fiscal Policy,
AIDS Awareness Week education and prevention,Social Policy,
AIDS awareness video production,Social Policy,
AIDS education and homosexual lifestyle,Social Policy,
AIDS education and personal health care,Social Policy,
AIDS education and provisions in the military,Social Policy,
AIDS funding delay,Social Policy,
AIDS illness research funding,Social Policy,
AIDS research and prevention funding,Social Policy,
AM radio dial position changes,Trade & Industry,
AM radio dial spacing and interference,Trade & Industry,
ANC refugee deportation,"Justice, Rights & Immigration",
APLQ break-in and RCMP involvement,Government Operations & Ethics,
AR 6 positions by department,Government Operations & Ethics,
AR-8 level employment by department,Government Operations & Ethics,
ARDA Programme Cormorant Fishermen's Co-op employment,Indigenous & Northern Affairs,
ARDA Programme Indian Rice Producers employment,Indigenous & Northern Affairs,
ARDA Programme funding and employment,Indigenous & Northern Affairs,
ARDA act name familiarity,Agriculture & Natural Resources,
ARDA administration and criticism,Agriculture & Natural Resources,
ARDA administration and freedom of speech,Government Operations & Ethics,
ARDA administration in Canada,Agriculture & Natural Resources,
ARDA and FRED program administration,Economic & Fiscal Policy,
ARDA and P.F.R.A. programs,Agriculture & Natural Resources,
ARDA and forestry policy statement,Agriculture & Natural Resources,
ARDA blueberry patch development projects,Agriculture & Natural Resources,
ARDA committee referral,Agriculture & Natural Resources,
ARDA funds for steel complex in Becancour,Trade & Industry,
ARDA grants for drainage in Ontario,Agriculture & Natural Resources,
ARDA grants to western provinces,Agriculture & Natural Resources,
ARDA land acquisition for Nova Scotia parks,Agriculture & Natural Resources,
ARDA legislation and municipal loan fund,Agriculture & Natural Resources,
ARDA program administration and provincial control,Intergovernmental & Constitutional Affairs,
ARDA program and drought relief for farmers,Agriculture & Natural Resources,
ARDA program and farmer debt,Agriculture & Natural Resources,
ARDA program effectiveness by province,Intergovernmental & Constitutional Affairs,
ARDA program effectiveness in Quebec,Intergovernmental & Constitutional Affairs,
ARDA program expenditures in Prince Edward Island,Agriculture & Natural Resources,
ARDA program grants,Agriculture & Natural Resources,
ARDA program in lower St. Lawrence,Agriculture & Natural Resources,
ARDA programs implementation,Agriculture & Natural Resources,
ARDA programs in Quebec,Agriculture & Natural Resources,
ARDA projects by province,Agriculture & Natural Resources,
ARDA projects in Saskatchewan,Agriculture & Natural Resources,
ARDA regulations and federal-provincial relations,Agriculture & Natural Resources,
ARDA rural development and family farms,Agriculture & Natural Resources,
ARDA rural development program funding,Agriculture & Natural Resources,
ARDA rural development projects,Agriculture & Natural Resources,
ARDA survey in Saguenay-Lake St. John,Agriculture & Natural Resources,
ARDA survey of farm problems in Saguenay-Lake St. John,Agriculture & Natural Resources,
ARMX '89 defence exhibition,Trade & Industry,
ARMX defence goods showcase,Trade & Industry,
ARMX trade show exhibits and defence equipment,Trade & Industry,
AWACS use of Canadian air bases,Foreign Affairs & Defence,
Abella Commission report,Social Policy,
Abella Report and affirmative action legislation,Social Policy,
Abella report and Equality Now! recommendations,Social Policy,
Abitibi-Temiscamingue tourism award,Trade & Industry,
Acadian groups funding and Liberal government actions,Intergovernmental & Constitutional Affairs,
Acadian history exhibit development,Social Policy,
Access to Information Act and Privacy Act,Government Operations & Ethics,
Access to Information Act request,Government Operations & Ethics,
Acklands Limited takeover bid,Trade & Industry,
Acres Intertel Ltd. services for Department of Communications,Government Operations & Ethics,
Acting Prime Minister's statement policy,Government Operations & Ethics,
Address in Reply to Speech from the Throne,Parliamentary Affairs,
Adjustment of Accounts Act committee stage,Parliamentary Affairs,
Adlai Stevenson's visit to Ottawa,Foreign Affairs & Defence,
Adult Occupational Training Program,Social Policy,
Adult Training Program in Ontario,Social Policy,
Adventures in Citizenship program,Social Policy,
Advisory Committee on International Microinformatics,Trade & Industry,
Advisory Committee on Nuclear Safety reports,Government Operations & Ethics,
Advisory Council on Status of Women recommendations,Social Policy,
Advisory Council on the Status of Women reporting to Parliament,Government Operations & Ethics,
Aeronautics Act and Air Canada obligations,Trade & Industry,
Aeronautics Act cost allocation,Government Operations & Ethics,
Afghan political prisoners sponsorship requests,Foreign Affairs & Defence,
Africa 2000 program and international aid,Foreign Affairs & Defence,
African Development Bank loan approvals by country,Foreign Affairs & Defence,
African Development Bank loans and disbursements,Foreign Affairs & Defence,
Agassiz Research Station person-years,Agriculture & Natural Resources,
Agence de Cooperation culturelle et technique anniversary,Foreign Affairs & Defence,
Agent Orange and fenotrothion spraying inquiry,Agriculture & Natural Resources,
Agricultural Products Board feed grain sales,Agriculture & Natural Resources,
Agricultural Products Co-operative Marketing Act amendments,Agriculture & Natural Resources,
Agricultural Stabilization Act,Agriculture & Natural Resources,
Agricultural Stabilization Act amendment delay,Agriculture & Natural Resources,
Agricultural Stabilization Act amendments,Agriculture & Natural Resources,
Agricultural Stabilization Act amendments and wool support,Agriculture & Natural Resources,
Agricultural Stabilization Act cattle support,Agriculture & Natural Resources,
Agricultural Stabilization Act review,Agriculture & Natural Resources,
Agriculture Canada research facilities and farm loans,Agriculture & Natural Resources,
Air B.C. regulations and appeal process,Trade & Industry,
"Air Canada ""En Route"" magazine omission",Trade & Industry,
Air Canada 50th anniversary stamp,Government Operations & Ethics,
Air Canada 727 aircraft orders and costs,Trade & Industry,
Air Canada B-727 replacements and Bristol Aerospace,Trade & Industry,
Air Canada DC-8-43 aircraft loss and training,Trade & Industry,
Air Canada DC-9 service termination in Cape Breton,Government Operations & Ethics,
Air Canada Gimli Glider crash probe costs,Government Operations & Ethics,
Air Canada Gimli disaster inquiry,Trade & Industry,
Air Canada Heathrow airport access,Trade & Industry,
Air Canada JP4 fuel inquiry,Trade & Industry,
Air Canada L-1011 jet parts production,Trade & Industry,
Air Canada McGregor travel agency inquiry,Trade & Industry,
Air Canada Official Languages Act interpretation,Government Operations & Ethics,
Air Canada PWA merger proposal,Trade & Industry,
Air Canada Sun Living package tour losses,Trade & Industry,
Air Canada Viscount aircraft sale,Trade & Industry,
Air Canada Winnipeg finance branch inquiry,Government Operations & Ethics,
Air Canada acquisition of Nordair shares,Trade & Industry,
Air Canada administrative space lease,Trade & Industry,
Air Canada aircraft engine procurement,Trade & Industry,
Air Canada aircraft fleet upgrade,Trade & Industry,
Air Canada aircraft incidents and fleet details,Trade & Industry,
Air Canada aircraft maintenance in Winnipeg,Trade & Industry,
Air Canada aircraft orders and supersonic aircraft,Trade & Industry,
Air Canada aircraft procurement and industrial benefits,Trade & Industry,
Air Canada aircraft purchase and Canadian content,Trade & Industry,
Air Canada aircraft purchase decision,Trade & Industry,
Air Canada aircraft rental to Liberal Party,Government Operations & Ethics,
Air Canada and CN performance,Trade & Industry,
Air Canada and CP Air Lines fares,Trade & Industry,
Air Canada and CP Air acquisition by PWA,Trade & Industry,
Air Canada and CP Air service inquiry,Trade & Industry,
Air Canada and Canadair privatization,Trade & Industry,
Air Canada and Canadian Airlines foreign ownership,Trade & Industry,
Air Canada and Canadian Pacific Airlines merger,Trade & Industry,
Air Canada and EPA route negotiations,Trade & Industry,
Air Canada and airline deregulation in Canada,Trade & Industry,
Air Canada and de Havilland financial losses,Trade & Industry,
Air Canada annual report consideration,Government Operations & Ethics,
Air Canada auditor appointment,Government Operations & Ethics,
Air Canada base location,Trade & Industry,
Air Canada bilingual services and management,Trade & Industry,
Air Canada bilingualism and CNR employee unionization,Trade & Industry,
Air Canada bilingualism and official languages,Parliamentary Affairs,
Air Canada bilingualism costs,Government Operations & Ethics,
Air Canada bilingualism in Official Languages Act,Government Operations & Ethics,
Air Canada bill concurrence motion,Trade & Industry,
Air Canada billing practices,Government Operations & Ethics,
Air Canada board criteria for decision-making,Government Operations & Ethics,
Air Canada capitalisation and share par value,Economic & Fiscal Policy,
Air Canada cargo policy to Orient,Trade & Industry,
Air Canada cargo transshipment policy,Trade & Industry,
Air Canada chairman criminal investigation,Government Operations & Ethics,
Air Canada chairman investigation,Government Operations & Ethics,
Air Canada chairman's resignation and report,Government Operations & Ethics,
Air Canada compliance with law,Government Operations & Ethics,
Air Canada contracting out and Winnipeg operations,Trade & Industry,
Air Canada contracting out finance department work,Government Operations & Ethics,
Air Canada contracts and Estey report,Government Operations & Ethics,
Air Canada control by minority shareholders,Trade & Industry,
Air Canada customs clearance at Toronto airport,"Justice, Rights & Immigration",
Air Canada debate and Meech Lake Accord,Intergovernmental & Constitutional Affairs,
Air Canada director conduct and oversight,Government Operations & Ethics,
Air Canada domestic fare structure and discounts,Economic & Fiscal Policy,
Air Canada employee due process,Trade & Industry,
Air Canada employee employment,Trade & Industry,
Air Canada employee lay-offs and grievance procedure,Trade & Industry,
Air Canada employee reclassification,Trade & Industry,
Air Canada employee reinstatement,Parliamentary Affairs,
Air Canada employee salaries during strike,Trade & Industry,
Air Canada employee transfers from Quebec,Trade & Industry,
Air Canada employee walkout,Trade & Industry,
Air Canada employment and salaries,Trade & Industry,
Air Canada equity holdings,Trade & Industry,
Air Canada executive compensation,Government Operations & Ethics,
Air Canada executive departures,Government Operations & Ethics,
Air Canada executive directors,Government Operations & Ethics,
Air Canada executive salaries and promotions,Government Operations & Ethics,
Air Canada executive salaries and service,Government Operations & Ethics,
Air Canada facilities and spending,Government Operations & Ethics,
Air Canada finance branch employees dispute,Trade & Industry,
Air Canada finance branch in Winnipeg,Trade & Industry,
