cluster,top_words,procedural_score,rationale
0,"privileg,hous,member,chair,matter,rais,rule,minist,point,order,mr,prima,faci,prima faci,case",1.0,"Words like 'privileg', 'hous', 'member', 'chair', 'point', 'order', 'rule' strongly indicate procedural and formal interventions."
1,"servic,public,public servic,post,offic,post offic,employe,govern,depart,commiss,board,postal,employ,servic commiss,mail",0.0,"Focuses on 'public servic', 'post offic', 'employe', 'govern', 'mail', indicating substantive administrative and service issues."
2,"tax,incom,incom tax,sale tax,sale,govern,cent,pay,canadian,year,budget,increas,taxpay,minist,revenu",0.0,"Dominated by 'tax', 'incom tax', 'sale tax', 'govern', 'budget', 'revenu', which are substantive economic and fiscal policy terms."
3,"mr,minist,govern,speaker,hous,mr speaker,think,canadian,peopl,say,time,member,make,matter,want",0.5,"A mix of substantive ('canadian', 'peopl', 'matter') and procedural/formal ('mr', 'minist', 'speaker', 'hous', 'think', 'say', 'time') terms."
4,"hous,leader,parti,opposit,govern,hous leader,debat,member,mr,speaker,leader opposit,time,day,say,parliament",0.75,"Contains procedural and partisan terms like 'leader', 'parti', 'opposit', 'hous leader', 'debat', 'parliament', with some general substantive context ('govern', 'member', 'time', 'day')."
5,"oil,price,energi,ga,canadian,govern,nation energi,increas,industri,compani,cent,nation,resourc,consum,board",0.0,"Primarily substantive policy terms related to 'oil', 'price', 'energi', 'ga', 'nation energi', 'industri'."
6,"order inform,duti pursuant,hous question,time adjourn,question rais,adjourn follow,tonight time,rais tonight,inform hous,pursuant stand,pursuant,order,tonight,stand order,duti",1.0,"Composed almost entirely of procedural and formal phrases like 'order inform', 'duti pursuant', 'hous question', 'time adjourn', 'question rais', 'stand order'."
7,"depart,canadian,year,program,compani,cost,servic,inform,nation,develop,corpor,oper,project,govern,follow",0.0,"Focuses on substantive administrative and operational terms like 'depart', 'program', 'compani', 'cost', 'servic', 'project', 'corpor'."
8,"bank,small busi,busi,loan,small,rate,act,bank act,govern,institut,financi,cent,financ,canadian,charter bank",0.0,"Deals with substantive financial and economic policy ('bank', 'small busi', 'loan', 'rate', 'bank act', 'financi')."
9,"provinc,feder,govern,provinci,quebec,feder govern,minist,program,constitut,mr,agreement,speaker,year,provinci govern,ontario",0.0,"Concerns substantive federal-provincial relations and policy ('provinc', 'feder', 'govern', 'quebec', 'provinci govern', 'constitut', 'program')."
10,"unit,state,unit state,canadian,unit nation,govern,secretari,nation,countri,extern,extern affair,mr,secretari state,american,minist",0.0,"Relates to substantive foreign policy and international relations ('unit state', 'canadian', 'nation', 'countri', 'extern affair', 'american')."
11,"motion,order,stand order,hous,stand,chair,debat,member,rule,point,point order,time,vote,day,mr",1.0,"Dominated by procedural terms like 'motion', 'order', 'stand order', 'hous', 'debat', 'rule', 'point order', 'vote'."
12,"divis,motion,hamilton,nay,messr,st,west,yea,saint,gray,follow divis,guilbault,hous divid,divid motion,scott",1.0,"Consists of terms directly related to voting and procedural mechanics ('divis', 'motion', 'nay', 'yea', 'hous divid', 'divid motion')."
13,"amend,claus,act,motion,hous,read,committe,order,propos,follow,word,mr,section,page,act amend",0.75,"A mix of procedural ('motion', 'order', 'committe', 'read', 'vote') and legislative ('amend', 'claus', 'act', 'section', 'page') terms, leaning towards procedural mechanics of legislation."
14,"pension,age,old age,old,plan,pension plan,veteran,retir,incom,age secur,secur,year,increas,benefit,govern",0.0,"Focuses on substantive social policy ('pension', 'age', 'old age', 'veteran', 'retir', 'incom', 'benefit')."
15,"prime minist,prime,minist,govern,mr,hous,deputi prime,speaker,mr speaker,deputi,said,canadian,say,countri,statement",0.25,"Contains substantive roles ('prime minist', 'deputi prime') and general context ('govern', 'hous', 'canadian', 'countri', 'said', 'say'), with some formal address ('mr', 'speaker')."
16,"committe,hous,report,member,stand committe,stand,mr,matter,govern,refer,time,order,think,motion,speaker",0.75,"A mix of procedural ('committe', 'hous', 'stand committe', 'order', 'motion') and substantive ('report', 'member', 'matter', 'govern') terms, with a strong procedural emphasis on committee work."
17,"trade,free trade,free,trade agreement,agreement,unit state,unit,state,canadian,american,negoti,govern,export,industri,countri",0.0,"Deals with substantive economic and trade policy ('trade', 'free trade', 'trade agreement', 'unit state', 'american', 'export', 'industri')."
18,"program,govern,job,cent,unemploy,rate,year,canadian,peopl,countri,increas,budget,econom,economi,industri",0.0,"Focuses on substantive economic and social policy ('program', 'job', 'unemploy', 'rate', 'economi', 'industri')."
19,"farmer,grain,wheat,farm,agricultur,produc,wheat board,board,market,price,year,product,govern,crop,canadian",0.0,"Concerns substantive agricultural policy ('farmer', 'grain', 'wheat', 'farm', 'agricultur', 'produc', 'wheat board', 'market')."
