topic,category,error
$1 banknote in circulation,Economic & Fiscal Policy,
10 per cent surtax on malts and fish products,Trade & Industry,
10 per cent surtax on personal incomes,Economic & Fiscal Policy,
10 per cent tax on family drugs,Economic & Fiscal Policy,
12 mile exclusive fisheries zone,Agriculture & Natural Resources,
12 mile fishing limit enforcement,Agriculture & Natural Resources,
12 mile fishing limit legislation,Agriculture & Natural Resources,
12 mile limit and foreign fishing rights,Agriculture & Natural Resources,
12 mile territorial limit,Agriculture & Natural Resources,
12-mile fishing limit precedents,Agriculture & Natural Resources,
12-mile fishing limit protest,Agriculture & Natural Resources,
12-mile fishing zone legislation,Agriculture & Natural Resources,
12-mile fishing zone negotiations,Agriculture & Natural Resources,
1919 Liberal convention and W. L. Mackenzie King,Government Operations & Ethics,
1919 Liberal party social security promises,Social Policy,
1936 perpetual bond issue and investor hardship,Economic & Fiscal Policy,
1964 import statistics on dairy and beef commodities,Agriculture & Natural Resources,
1965 uncirculated coin sets production,Government Operations & Ethics,
1966 census enumerators in Wetaskiwin,Government Operations & Ethics,
1967 world exhibition corporation commissioner salary,Government Operations & Ethics,
1967 world fair Canadian flag,Government Operations & Ethics,
1969 white paper on Indian policy,Indigenous & Northern Affairs,
1971 census living quarters questions,Social Policy,
1971 tax system and Ontario government brief,Economic & Fiscal Policy,
1972 winter Olympics in Banff and Jasper,Agriculture & Natural Resources,
1972 winter olympics site selection,Foreign Affairs & Defence,
1974 election campaign promises on wage and price controls,Economic & Fiscal Policy,
1976 Census preliminary population counts,Social Policy,
1976 Olympic Games commemorative stamp,Government Operations & Ethics,
1976 capital investment prediction,Economic & Fiscal Policy,
1977 fishing plan,Agriculture & Natural Resources,
1979 borrowing and economic recovery,Economic & Fiscal Policy,
1980 election campaign promises,Economic & Fiscal Policy,
1981 census commissioner appointments,Government Operations & Ethics,
1981-1982 main estimates budgetary expenditures,Economic & Fiscal Policy,
1984 economic policy paper,Economic & Fiscal Policy,
1984 election campaign and Quebec's constitutional unity,Intergovernmental & Constitutional Affairs,
1984 election results and government legitimacy,Parliamentary Affairs,
1987 Constitutional Accord amendments,Intergovernmental & Constitutional Affairs,
1988 Winter Olympics in Calgary,Social Policy,
1991 budget deficit understatement,Economic & Fiscal Policy,
1992 Confederation anniversary celebrations,Intergovernmental & Constitutional Affairs,
1992 budget debate and fairness,Economic & Fiscal Policy,
"2,4-D and dioxins in agriculture",Agriculture & Natural Resources,
"2,4-D use for farmers",Agriculture & Natural Resources,
"2,4-D use in agriculture",Agriculture & Natural Resources,
200-mile fisheries zone jurisdiction,Agriculture & Natural Resources,
200-mile fishery zone and ICNAF quotas,Agriculture & Natural Resources,
200-mile fishing jurisdiction regime,Agriculture & Natural Resources,
200-mile fishing limit and surveillance,Agriculture & Natural Resources,
200-mile fishing zone,Agriculture & Natural Resources,
200-mile limit and Atlantic Canada concerns,Agriculture & Natural Resources,
200-mile limit and GATT,Trade & Industry,
20th anniversary of the election of the Class of 72,Parliamentary Affairs,
3 per cent perpetual bonds,Economic & Fiscal Policy,
3 per cent surtax necessity,Economic & Fiscal Policy,
3 per cent surtax on Canadian taxpayers,Economic & Fiscal Policy,
4-H club membership statistics by province,Social Policy,
40 hour week deferment provisions,Social Policy,
4th Mechanized Brigade Group tank maintenance,Foreign Affairs & Defence,
50-50 sharing of health care costs,Social Policy,
500 Club membership benefits,Government Operations & Ethics,
6 and 5 program and inflation,Economic & Fiscal Policy,
6 per cent rule for public servants,Government Operations & Ethics,
6-and-5- legislation formula,Economic & Fiscal Policy,
700th anniversary of Parliament,Parliamentary Affairs,
75th anniversary of Vimy Ridge,Foreign Affairs & Defence,
8 per cent mortgages and land speculation,Social Policy,
8 per cent mortgages for low-income families,Social Policy,
80 per cent content legislation,Trade & Industry,
80 per cent rule and Reader's Digest,Trade & Industry,
AB line boundary negotiations with U.S,Foreign Affairs & Defence,
ABM Treaty and regime integrity,Foreign Affairs & Defence,
ABM Treaty and star wars system,Foreign Affairs & Defence,
ABM Treaty and superpower obligations,Foreign Affairs & Defence,
ABM installation in Canada's Arctic,Foreign Affairs & Defence,
ABM system and nuclear arms race,Foreign Affairs & Defence,
ABM system fallout and glare risks,Foreign Affairs & Defence,
ABM system installation,Foreign Affairs & Defence,
ABM treaty interpretation and star wars,Foreign Affairs & Defence,
ACOA assistance for small business job creation,Economic & Fiscal Policy,
ACOA assistance to Nova Scotia businesses,Economic & Fiscal Policy,
ACOA bill and Cape Breton Development Corporation,Trade & Industry,
ACOA budget and CFB Summerside,Economic & Fiscal Policy,
ACOA business development incentives,Economic & Fiscal Policy,
ACOA financing for Atlantic Canada enterprises,Intergovernmental & Constitutional Affairs,
ACOA funding and government spending,Economic & Fiscal Policy,
ACOA funding and political patronage,Government Operations & Ethics,
ACOA funding for small business development,Intergovernmental & Constitutional Affairs,
ACOA investment in tourism and fishery,Agriculture & Natural Resources,
ACOA job creation and economic development in Newfoundland,Economic & Fiscal Policy,
ACOA program and trade deal,Trade & Industry,
ACOA program co-ordination and co-financing,Economic & Fiscal Policy,
ACOA programs and job creation in Newfoundland,Economic & Fiscal Policy,
ACOA projects and investment,Economic & Fiscal Policy,
ACOA study commissioned by Nova Scotia minister,Economic & Fiscal Policy,
ACOA success rate in Atlantic Canada,Economic & Fiscal Policy,
ACOA's role in Newfoundland and Labrador,Economic & Fiscal Policy,
ACOA's role in regional economic development,Economic & Fiscal Policy,
ADAPP drug rehabilitation project funding,Social Policy,
ADATS logistic support and operating costs,Foreign Affairs & Defence,
ADIA employment figures comparison,Economic & Fiscal Policy,
ADRG investigation into ministerial conduct,Government Operations & Ethics,
AECB proposed program for nuclear safety research,Agriculture & Natural Resources,
AECB warnings on Greenpeace report,Government Operations & Ethics,
AECL $500 million contract,Trade & Industry,
AECL Candu system development and employment,Trade & Industry,
AECL R and D budget cuts,Economic & Fiscal Policy,
AECL agent fees for South Korea reactor sale,Trade & Industry,
AECL agents fees and Argentine contract,Trade & Industry,
AECL agreement figures,Government Operations & Ethics,
AECL agreement with Italimpianti,Trade & Industry,
AECL and Lepreau II expansion,Agriculture & Natural Resources,
AECL business relationship with Italimpianti,Trade & Industry,
AECL cheque to non-existent company,Government Operations & Ethics,
AECL contract fees and service payments,Government Operations & Ethics,
AECL expenditure on agents,Government Operations & Ethics,
AECL export of Cordoba project components,Trade & Industry,
AECL financial maladministration and expenditures,Government Operations & Ethics,
AECL financial responsibility,Government Operations & Ethics,
AECL funding and sale of Nordion,Government Operations & Ethics,
AECL grants and/or loans within Metropolitan Toronto,Government Operations & Ethics,
AECL job losses and Liberal economic policy,Economic & Fiscal Policy,
AECL layoffs and Candu system choice,Government Operations & Ethics,
AECL licensee selection and commercial ties,Trade & Industry,
AECL licensing agreement with Romania,Trade & Industry,
AECL maintenance of northern Canada systems,Agriculture & Natural Resources,
AECL marketing of Candu reactor,Trade & Industry,
AECL nuclear industry oversight,Agriculture & Natural Resources,
AECL nuclear reactor sale to Argentina,Foreign Affairs & Defence,
AECL nuclear reactor sales to Roumania,Trade & Industry,
AECL officer information,Government Operations & Ethics,
AECL promotion of environment positions,Government Operations & Ethics,
AECL reactor sale to Korea and payments to Eisenberg,Government Operations & Ethics,
AECL reactor sales and marketing practices,Trade & Industry,
AECL use of agents,Government Operations & Ethics,
AEI complaint about CIDA contract,Foreign Affairs & Defence,
AHOP funds budget allocation,Social Policy,
AHOP home owners and graduated mortgage payment plan,Social Policy,
AHOP housing loans in New Brunswick,Social Policy,
AHOP housing policy compromises,Social Policy,
AHOP housing price limits and rental accommodation,Social Policy,
AHOP housing program application,Social Policy,
AHOP housing program in Toronto,Social Policy,
AHOP housing program mortgage rates,Social Policy,
AHOP mortgage defaults,Social Policy,
AHOP mortgage insurance fees,Social Policy,
AHOP mortgage renewal funding,Social Policy,
AHOP program housing subsidies,Social Policy,
AHOP projects home owners,Social Policy,
AIB guidelines and business profits,Economic & Fiscal Policy,
AIB guidelines on price increase complaints,Economic & Fiscal Policy,
AIB incomes policy and its effects,Economic & Fiscal Policy,
AIB power to monitor federal spending,Economic & Fiscal Policy,
AIB regulations on research and development,Trade & Industry,
AIDS Awareness Week and community programs,Social Policy,
AIDS awareness video and classroom materials,Social Policy,
AIDS education and homosexuality,Social Policy,
AIDS funding and government inaction,Social Policy,
AIDS illness research funding,Social Policy,
AIDS in the Canadian Armed Forces,Foreign Affairs & Defence,
AIDS prevention and legislation on sexuality,"Justice, Rights & Immigration",
AIDS prevention and safer sex education programs,Social Policy,
AIDS research and drug patent Bill C-22,Trade & Industry,
AM band dial position change,Trade & Industry,
AM dial radio frequency changes,Trade & Industry,
AM radio dial position and sound quality,Trade & Industry,
AM radio dial position changes,Government Operations & Ethics,
ANC refugee deportation to East Germany,"Justice, Rights & Immigration",
APEC report on regional development efforts,Economic & Fiscal Policy,
ARA employment figures and spending scheme,Trade & Industry,
ARA grants to designated areas,Trade & Industry,
ARDA Programme Cormorant Fishermen's Co-op employment,Indigenous & Northern Affairs,
ARDA Programme Indian Rice Producers employment,Indigenous & Northern Affairs,
ARDA act name familiarity,Agriculture & Natural Resources,
ARDA administration and criticism,Agriculture & Natural Resources,
ARDA administration and provincial control,Agriculture & Natural Resources,
ARDA administration costs,Agriculture & Natural Resources,
ARDA administration in Canada,Agriculture & Natural Resources,
ARDA agreements and ministerial appointments,Government Operations & Ethics,
ARDA agreements with provinces,Agriculture & Natural Resources,
ARDA agricultural productivity projects,Agriculture & Natural Resources,
ARDA agricultural projects in Eastern Ontario,Agriculture & Natural Resources,
ARDA and FRED program criteria,Economic & Fiscal Policy,
"ARDA and FRED programs, DEVCO development",Government Operations & Ethics,
ARDA and Magdalen Islands,Agriculture & Natural Resources,
ARDA and federal leadership in agriculture,Government Operations & Ethics,
ARDA and forestry policy statement,Agriculture & Natural Resources,
ARDA and sugar beet marketing and processing,Agriculture & Natural Resources,
ARDA assistance for broiler and pork production,Agriculture & Natural Resources,
ARDA assistance for depressed agricultural areas,Government Operations & Ethics,
ARDA assistance for farmers,Agriculture & Natural Resources,
ARDA assistance to Grand Rapids Fishermen's Co-op Ltd,Indigenous & Northern Affairs,
ARDA blueberry farm development in Quebec,Agriculture & Natural Resources,
ARDA economic study of lower St. Lawrence region,Agriculture & Natural Resources,
